"","title","price","image_link"
"32","Toshiba 4K Smart Frameless D-LED 55 Inch TV with Built-In Receiver, Black - 55U5965EA - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","12,899.","https://m.media-amazon.com/images/I/71ePz00p-kL._AC_UL320_.jpg"
"33","Contex 32 Inches, CON32T10NHA1A, HD LED TV Standard  ",NA,"https://m.media-amazon.com/images/I/81pmh90Y8HL._AC_UL320_.jpg"
"34","Tornado 55 Inch 4K UHD Smart Android Frameless LED TV with Remote Control and Wifi Connection - 55UA1400E - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","15,825.","https://m.media-amazon.com/images/I/61GW5Z13-3L._AC_UL320_.jpg"
"35","Samsung 50 Inches 4K Ultra HD QLED Smart TV with Built-in Receiver, Black - QA50Q60B  ","14,699.","https://m.media-amazon.com/images/I/61hrZ19N9hL._AC_UL320_.jpg"
"36","TORNADO 4K Smart LED TV 65 Inch, Built-in Receiver - 65US1500E - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","15,799.","https://m.media-amazon.com/images/I/61NZQmqPXuL._AC_UL320_.jpg"
"37","Hershman 43 inch LED HD TV  ","5,599.","https://m.media-amazon.com/images/I/71V2gXdwKgL._AC_UL320_.jpg"
"38","Toshiba LED 43 Inch Full HD TV with Built-In Receiver, Black - 43L3965EA  ","8,237.","https://m.media-amazon.com/images/I/615k4OSbsNS._AC_UL320_.jpg"
"39","LG NanoCell TV 50 Inch NANO84 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ Local Dimming - 50NANO846QA (New 2022)  ","15,999.","https://m.media-amazon.com/images/I/51uVp3ZWB+L._AC_UL320_.jpg"
"40","LG Real 4K Quantum Dot NanoCell Color Technology LED TV 75 Inch QNED80 Series, Cinema Screen Design 4K Cinema HDR WebOS Smart AI ThinQ Local Dimming - 75QNED806QA (New)  ","39,999.","https://m.media-amazon.com/images/I/61o859Z5cSL._AC_UL320_.jpg"
"41","Hershman HD LED TV 19 inch  ","2,099.","https://m.media-amazon.com/images/I/61m9IVYBxuL._AC_UL320_.jpg"
"42","Toshiba FHD Smart VIDAA No Frame 43 Inch Monitor, Built-in Reserve 43V35KV  ","10,400.","https://m.media-amazon.com/images/I/31Ed7Ri77-L._AC_UL320_.jpg"
"43","Tornado 32inch HD Smart TV, Indoor Reserve 32ES1500E  ","5,900.","https://m.media-amazon.com/images/I/41S3G9z2MfL._AC_UL320_.jpg"
"44","Chromecast with Google TV - 4K with Remote (White)  ","3,500.","https://m.media-amazon.com/images/I/41-Hvat6lEL._AC_UL320_.jpg"
"45","Hershman - 32-inch HD LED TV  ","3,199.","https://m.media-amazon.com/images/I/61lM9ZMqDbL._AC_UL320_.jpg"
"46","LG NanoCell TV 50 Inch NANO79 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 50NANO796QA (New 2022)  ","13,898.","https://m.media-amazon.com/images/I/61-YwBeI0aL._AC_UL320_.jpg"
"47","Samsung 65 Inches 4K Ultra HD QLED Smart TV with Built-in Receiver, Black - QA65LS03AAUXEG with 1 Frame  ","35,305.","https://m.media-amazon.com/images/I/41Hqgfec4KL._AC_UL320_.jpg"
"48","LG Real 4K Quantum Dot NanoCell Color Technology LED TV 65 Inch QNED7S Series, Cinema Screen Design 4K Cinema HDR WebOS Smart AI ThinQ Local Dimming - 65QNED7S6QA (New)  ","21,499.","https://m.media-amazon.com/images/I/71OTsaRgGlL._AC_UL320_.jpg"
"49","ROWA 43 Inch FHD Android Smart LED TV,8GB Flash,Voice Remote Control,2HDMI and 1 USB Inputs  ",NA,"https://m.media-amazon.com/images/I/61-2aDrdXdL._AC_UL320_.jpg"
"50","LG NanoCell TV 86 Inch NANO79 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 86NANO796QA  ","52,999.","https://m.media-amazon.com/images/I/51mFbAvH2LL._AC_UL320_.jpg"
"51","SAMSUNG 85 Inch TV Quantum Processor 4K QLED QA85Q70BAUXEG, New Edition - TITAN GRAY  ","55,999.","https://m.media-amazon.com/images/I/81kDRfBjFnL._AC_UL320_.jpg"
"52","Toshiba Smart LED TV, Built-in Preserve 2 HDMI Ports and 2 USB Ports - 32V35KV - (Wii View and View VP and Watch)  ","5,799.","https://m.media-amazon.com/images/I/31Fr71ZnA6L._AC_UL320_.jpg"
"53","Fresh 32LH323 32 Inch LED HD TV with Remote Control - Black  ","3,850.","https://m.media-amazon.com/images/I/61x0kbplKeL._AC_UL320_.jpg"
"54","LG Smart TV 43 Inches - Full HD - WebOs - ThinQ - Active HDR - DTS Virtual:X - Quadcore Processor - LED - WiFi - Slim - Built in Receiver - 43LM6370PVA  ",NA,"https://m.media-amazon.com/images/I/71Tg7Lov-qL._AC_UL320_.jpg"
"55","LG 43 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 43UP7750PVB  ","8,849.","https://m.media-amazon.com/images/I/716bLMdpBPS._AC_UL320_.jpg"
"56","Unionaire 32 inch HD LED TV - L32UT420  ","3,955.","https://m.media-amazon.com/images/I/71XritfH2SL._AC_UL320_.jpg"
"57","LG OLED TV 65 Inch CS Series, Cinema Screen Design 4K Cinema HDR WebOS Smart AI ThinQ Pixel Dimming- OLED65CS6LA (New 2022)  ",NA,"https://m.media-amazon.com/images/I/71pg-oGka7L._AC_UL320_.jpg"
"58","RT Home FHD LED TV 43 INCH SMART ANDROID 9 RT-43SA  ","6,362.","https://m.media-amazon.com/images/I/61e+5tdWDhL._AC_UL320_.jpg"
"59","Tornado 50 Inch 4K UHD Smart Android Frameless LED TV with Remote Control and Wifi Connection - 50UA1400E - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","12,849.","https://m.media-amazon.com/images/I/61GW5Z13-3L._AC_UL320_.jpg"
"60","Hershman 28 inch HD LED Standard TV with 2 Year Warrant  ","2,799.","https://m.media-amazon.com/images/I/71Ejv2cpttL._AC_UL320_.jpg"
"61","Nikai Smart HD LED TV, 32 Inches, Black - NE32SLED2  ","3,950.","https://m.media-amazon.com/images/I/61Sc603pQFL._AC_UL320_.jpg"
"62","RT Home FHD LED TV 40 INCH - I Cast (RT-40A)  ","4,899.","https://m.media-amazon.com/images/I/61BWjplkqwL._AC_UL320_.jpg"
"63","LG Smart TV 86 Inch QNED80 Series, Cinema Screen Design 4K Cinema HDR WebOS Smart AI ThinQ Local Dimming 86QNED806QA  ","58,290.","https://m.media-amazon.com/images/I/81TM8rOIaaL._AC_UL320_.jpg"
"64","SAMSUNG 55 Inch TV Neo Quantum Processor 4K QLED QA55QN85BAUXEG, New Edition - BRIGHT SILVER  ","28,780.","https://m.media-amazon.com/images/I/91kbl-z4UlL._AC_UL320_.jpg"
"65","Premium 55 Inch 4K SUPER QLED Smart Android 11 TV with Built-in Receiver - SQ55PW900 - RAM: 1.5GB/ Memory: 8GB By: Unionaire  ","11,049.","https://m.media-amazon.com/images/I/51yFxVHIMpL._AC_UL320_.jpg"
"66","HISENSE E6H (43 Inch) 4K UHD Smart VIDAA TV, with Dolby Vision HDR, DTS Virtual X, Bluetooth and Wi-Fi (2022 NEW)  ","9,000.","https://m.media-amazon.com/images/I/81wc-+MbLhL._AC_UL320_.jpg"
"67","Hershman 40 inch LED HD TV  ","4,999.","https://m.media-amazon.com/images/I/51HF07Si5SL._AC_UL320_.jpg"
"68","LG UHD 4K TV 75 Inch UP7760PVB Series, 4K Active HDR WebOS Smart AI ThinQ 75UP7760PVB  ",NA,"https://m.media-amazon.com/images/I/71RzIQcVjkL._AC_UL320_.jpg"
"69","Sharp 40 Inch Full HD Standard TV - LC-40LE2800X  ","6,999.","https://m.media-amazon.com/images/I/71cf-TbXOEL._AC_UL320_.jpg"
"70","Nikai Full HD LED TV, 43 Inches, Black - NE43LED2  ","6,298.","https://m.media-amazon.com/images/I/51xk6L8zQVS._AC_UL320_.jpg"
"71","TORNADO Shield Smart LED TV 32 Inch HD With Built-In Receiver, 2 HDMI and 2 USB Inputs - 32ES9300E-A - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ",NA,"https://m.media-amazon.com/images/I/51AUcJs8KcL._AC_UL320_.jpg"
"72","Skyline 32 Inch HD LED TV-32-32A Silver  ","3,390.","https://m.media-amazon.com/images/I/61+eRFZUVnL._AC_UL320_.jpg"
"73","Samsung 50 Inch 4K Ultra HD Smart LED TV with Built-in Receiver, Titan Grey - UA50TU7000UXEG  ","12,199.","https://m.media-amazon.com/images/I/91f-fN56umL._AC_UL320_.jpg"
"74","UHD TV 65 Inch - Quad Core Processor - Cinema Screen Design - 4K AI ThinQ - Active HDR - WebOS -65UP7760PVB- New Magic Remote  ","14,690.","https://m.media-amazon.com/images/I/81xEiVUw+3L._AC_UL320_.jpg"
"75","SAMSUNG 55 Inch TV Neutral Quantum Processor Lite 8K QLED QA55QN700BUXEG, New Edition - STAINLESS STEEL  ","37,999.","https://m.media-amazon.com/images/I/617HTcfG5jL._AC_UL320_.jpg"
"76","TOSHIBA 4K Smart LED TV 75 Inch With Android System, WiFi Connection, 4 HDMI and 2 USB Inputs - 75U7950EA-S - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","30,899.","https://m.media-amazon.com/images/I/61pWiYtkdRL._AC_UL320_.jpg"
"77","32LH424R Fresh Monitor - 32LH424R  ","3,939.","https://m.media-amazon.com/images/I/61To83BTVLL._AC_UL320_.jpg"
"78","TORNADO LED TV 32 Inch HD With 2 HDMI and 2 USB Inputs 32EL8250E-B  ","4,725.","https://m.media-amazon.com/images/I/61J+OUCp4AL._AC_UL320_.jpg"
"79","Xiaomi Mi Box 4K Android TV Box with Remote Control - Black  ","2,900.","https://m.media-amazon.com/images/I/415-scZzz-L._AC_UL320_.jpg"
"80","Caixun EC50S1UA, 50 inch 4K UHD HDR Smart TV with Google Assistant, Dolby Audio, WiFi, Netflix, Screen share, Triple Tuner, HDMI, USB  ","8,799.","https://m.media-amazon.com/images/I/819mFAdXLRL._AC_UL320_.jpg"
"81","Samsung55Inches QLED/THE FRAME Smart TV with Built-in Receiver, Black - QA55LS03B  ","19,999.","https://m.media-amazon.com/images/I/61-kcpHWIYL._AC_UL320_.jpg"
"82","ATA 32 Inch LED TV - LED-S32  ","3,399.","https://m.media-amazon.com/images/I/71gpBNkLryL._AC_UL320_.jpg"
"83","Unionaire 43 inch Full HD LED Smart Android TV - Bluetooth - M43UW680  ",NA,"https://m.media-amazon.com/images/I/71A2YKvst-L._AC_UL320_.jpg"
"84","RT Home RT-32SA LED TV 32 INCH HD SMART FRAMELESS  ","4,216.","https://m.media-amazon.com/images/I/71yNTmK2OgL._AC_UL320_.jpg"
"85","LG UHD 4K TV 55 Inch UQ9100 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 55UQ91006LC (New 2022)  ",NA,"https://m.media-amazon.com/images/I/81k5uWiGELL._AC_UL320_.jpg"
"86","Skyline 32 Inch Smart LED TV 32-22S  ",NA,"https://m.media-amazon.com/images/I/61yok437mhL._AC_UL320_.jpg"
"87","REDLINE 50 Inch LED Android TV - RED-50K1000- Black  ","8,899.","https://m.media-amazon.com/images/I/71OjNY1SCuL._AC_UL320_.jpg"
"88","ATA 32S LED SMART  ","4,388.","https://m.media-amazon.com/images/I/715UQxmShYL._AC_UL320_.jpg"
"89","Sharp 65 inch 4K Ultra HD LED Smart Android TV with Remote Control and Built-in Receiver - 4T-C65DL6EX - Promotions (WE and Shahid VIP)  ",NA,"https://m.media-amazon.com/images/I/61ahhwbZztS._AC_UL320_.jpg"
"90","Ultra HD 4K TV 43 Inch UQ7500 Series Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ 43UQ75006LG  ","8,849.","https://m.media-amazon.com/images/I/A1NzN3yfgXL._AC_UL320_.jpg"
"91","SAMSUNG 65 Inch TV New Quantum Processor 4K QLED QA65QN90BAUXEG, New Edition - TITAN Black  ","48,999.","https://m.media-amazon.com/images/I/71Amx-C7ZLL._AC_UL320_.jpg"
"92","TORNADO Shield Smart LED TV 43 Inch HD With Built-In Receiver, 2 HDMI and 2 USB Inputs - 43ES9300E-A - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ",NA,"https://m.media-amazon.com/images/I/51LIs1AkkEL._AC_UL320_.jpg"
"93","Xiaomi MDZ-24-AA-3 TV Stick with Built in Chromecast Black  ","2,077.","https://m.media-amazon.com/images/I/41z0oLY5msL._AC_UL320_.jpg"
"94","Syinix A+ Panel HD i-cast LED TV with Built-in Receiver (Black, 32in)  ","3,749.","https://m.media-amazon.com/images/I/71IG3SyhHML._AC_UL320_.jpg"
"95","Haier 32 Inch FHD LED TV 1080P  ","3,998.","https://m.media-amazon.com/images/I/51DpYp1U4aL._AC_UL320_.jpg"
"96","Syinix TV 39-inch HD LED TV With Built-in Satellite Receiver Mobile I-Cast - Black  ",NA,"https://m.media-amazon.com/images/I/61ytMbvLu8L._AC_UL320_.jpg"
"97","Sony 32 Inch HD Smart LED TV - KDL-32W600D - WE Promotion: 50 GBs Free for 3 Months  ","5,899.","https://m.media-amazon.com/images/I/61l0ni0xGqL._AC_UL320_.jpg"
"98","SAMSUNG 55-Inch QD-OLED Smart TV 4K – Neural HDR Quantum Processor 4k With 6 Speakers - 2023 Model - QA55S95BAUXEG  ","45,999.","https://m.media-amazon.com/images/I/61CgDtpoIKL._AC_UL320_.jpg"
"99","TV screen protector 50 inch  ","965.","https://m.media-amazon.com/images/I/51GtbLtKyZL._AC_UL320_.jpg"
"100","Unionaire HD LED TV, 32in  ",NA,"https://m.media-amazon.com/images/I/51u5rKhpcYS._AC_UL320_.jpg"
"101","Jac 143ASS 43 Inch Full HD LED Smart Android TV, IPS Panel - Black  ",NA,"https://m.media-amazon.com/images/I/61jrfjpbUkL._AC_UL320_.jpg"
"102","Tornado 43 Inch LED Standard TV Black - 43EL8250E-B  ","8,149.","https://m.media-amazon.com/images/I/31UudBkOfqS._AC_UL320_.jpg"
"103","TORNADO LED TV 32 Inch HD With Built-In Receiver, 2 HDMI and 2 USB Inputs 32ER9300E  ","4,801.","https://m.media-amazon.com/images/I/617imllAXQL._AC_UL320_.jpg"
"104","Samsung 58 Inch TU7000 Crystal UHD 4K Smart TV 2020  ","12,999.","https://m.media-amazon.com/images/I/71qqCWuXuYL._AC_UL320_.jpg"
"105","TOSHIBA Smart LED TV 32 Inch HD, Built-In Receiver, 2 HDMI and 2 USB Inputs - 32V35KV - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ",NA,"https://m.media-amazon.com/images/I/61oi5QdCgPL._AC_UL320_.jpg"
"106","Nikai HD LED TV, 32 Inches, Black - NE32LED2  ","3,940.","https://m.media-amazon.com/images/I/51uQlNYxTLL._AC_UL320_.jpg"
"107","Smart 32 Inch Tv LG + Wall Mount - With Dolby Audio Technology - LED - Active HDR - 32LM637BPVA  ",NA,"https://m.media-amazon.com/images/I/716GJbzoQrL._AC_UL320_.jpg"
"108","TORNADO 4K Smart DLED TV 70 Inch, WiFi Connection - 70US1500E - WE Promotion: 200 GBs Free for 3 Months  ",NA,"https://m.media-amazon.com/images/I/61NZQmqPXuL._AC_UL320_.jpg"
"109","Castle LED Smart TV  ","7,150.","https://m.media-amazon.com/images/I/61+rlBgXj8L._AC_UL320_.jpg"
"110","LG 32 inches LED Smart TV Black - 32LM637BPVA  ",NA,"https://m.media-amazon.com/images/I/81m1BQH03KL._AC_UL320_.jpg"
"111","LG Real 4K Quantum Dot NanoCell Color Technology LED TV 55 Inch QNED80 Series, Cinema Screen Design 4K Cinema HDR WebOS Smart AI ThinQ Local Dimming - 55QNED806QA (New 2022)  ","18,699.","https://m.media-amazon.com/images/I/81yoeb-WY3L._AC_UL320_.jpg"
"112","Haier 43 Inch FHD LED TV 1080P  ",NA,"https://m.media-amazon.com/images/I/51nflj6Ny5L._AC_UL320_.jpg"
"113","SAMSUNG 65-Inch QD-OLED Smart TV 4K – Neural HDR Quantum Processor 4k With 6 Speakers - 2023 Model - QA65S95BAUXEG  ","59,899.","https://m.media-amazon.com/images/I/61DJgbFnd+L._AC_UL320_.jpg"
"114","Castle AC 2132 HD TV - 32 Inch, Black  ","3,875.","https://m.media-amazon.com/images/I/618MJeeuynS._AC_UL320_.jpg"
"115","Syinix 32 Inch i-Cast LED TV, A+ Panel and Built-in receiverr, Black - 32E1M  ","3,849.","https://m.media-amazon.com/images/I/71ibsrHWHCL._AC_UL320_.jpg"
"116","LG 50 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 50UP8150PVB  ",NA,"https://m.media-amazon.com/images/I/71ExlHmeTSL._AC_UL320_.jpg"
"117","Sary 32 inches LED Smart TV Black - SA32RY-5500  ",NA,"https://m.media-amazon.com/images/I/41SqIJpgdLS._AC_UL320_.jpg"
"118","Syinix 43 Lite Full HD Google Android TV with A+Panel,Voice remote control, bluetooth 5.0 and Dolby sound, Black  ",NA,"https://m.media-amazon.com/images/I/616U3pzmYzL._AC_UL320_.jpg"
"119","Contex 43 inch Full HD Smart Android TV - CON43SZ401  ",NA,"https://m.media-amazon.com/images/I/61ONYLt28bL._AC_UL320_.jpg"
"120","Fresh 32LH423RE 32 Inch LED HD Smart Android TV with Remote Control - Black  ",NA,"https://m.media-amazon.com/images/I/511m03RLvrL._AC_UL320_.jpg"
"121","ATA 32 Inch HD LED Standard TV Black - 32DN4 LE  ","3,588.","https://m.media-amazon.com/images/I/71-eFd5uaOL._AC_UL320_.jpg"
"122","TORNADO 4K Smart DLED TV 58 Inch, WiFi Connection - 58US1500E - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ",NA,"https://m.media-amazon.com/images/I/61NZQmqPXuL._AC_UL320_.jpg"
"123","Hikvision RAM - HS-SODIMM - DDR3 - 1600MHz - 8GB - HKED3082BAA2A0ZA1/8G  ","969.","https://m.media-amazon.com/images/I/61pXF3qE8WL._AC_UL320_.jpg"
"124","Haier 32in FHD LED Smart Android 11 TV 1080P  ",NA,"https://m.media-amazon.com/images/I/617hnxJI0eL._AC_UL320_.jpg"
"125","Fresh 43LF320 43 Inch Full HD LED Smart TV - Black  ","7,950.","https://m.media-amazon.com/images/I/51CifacJgGS._AC_UL320_.jpg"
"126","Tornado 32 Inch HD LED TV with Built-In Receiver - 32ER9500E  ","4,700.","https://m.media-amazon.com/images/I/71b7Ovo1GPL._AC_UL320_.jpg"
"127","TORNADO LED TV 43 Inch Full HD With Built-In Receiver, 2 HDMI and 2 USB Inputs 43ER9300E  ","8,334.","https://m.media-amazon.com/images/I/61zxj9P3dUL._AC_UL320_.jpg"
"128","ULTRA 32 Inch HD LED TV- UT32U  ","3,699.","https://m.media-amazon.com/images/I/61oIQE2t7nL._AC_UL320_.jpg"
"129","ATA 43 Inch Full HD LED Smart TV Black - 43S1  ",NA,"https://m.media-amazon.com/images/I/71fXxCvrtPL._AC_UL320_.jpg"
"130","JAC LED HD Slim 32 Inch NGLD-32AS  ","3,975.","https://m.media-amazon.com/images/I/71ES8auIG6L._AC_UL320_.jpg"
"131","haier TV 58 inch 4K ULTRA HD SMART ANDROID 9 BUILT-IN RECEIVER LE58K6600UG  ",NA,"https://m.media-amazon.com/images/I/51tIfdCKFML._AC_UL320_.jpg"
"132","RT Home RT-32A LED TV 32 INCH HD ICast Frameless  ","3,745.","https://m.media-amazon.com/images/I/61JHuWgO5OL._AC_UL320_.jpg"
"133","Syinix 50 Inch 4K Ultra HD, Google Android Frameless TV with Voice remote control, HDR - Black  ",NA,"https://m.media-amazon.com/images/I/611vZeTIy+L._AC_UL320_.jpg"
"134","Samsung 55 Inches AU7000 Crystal UHD 4K Flat Smart TV (2021), Titan Gray, UA55AU7000UXZN  ",NA,"https://m.media-amazon.com/images/I/71I5vs+wLNL._AC_UL320_.jpg"
"135","ROWA 55 Inch 4K UHD Android Smart LED TV 16GB Flash,Voice Remote Control,3 HDMI and 2 USB Inputs  ","9,450.","https://m.media-amazon.com/images/I/716qyP4T2BL._AC_UL320_.jpg"
"136","Mega ME32 32 Inch LED HD Standard TV with Remote Control - Black  ",NA,"https://m.media-amazon.com/images/I/61LtpfGUzcL._AC_UL320_.jpg"
